Job Class,Percentage
Management,6.1,https://www.indeed.com/career-advice/finding-a-job/getting-into-management
Business and Financial operations,5,https://aafa.com/blog/how-to-begin-a-career-in-finance
Computer and Mathematical,2.7,https://techguide.org/computer-science/computer-science-resources/how-to-get-into-computer-science/
Architecture and Engineering,1.7,https://youngarchitect.com/becoming-an-architect/
"Life, Physical and Social Science",0.9,https://www.indeed.com/career-advice/finding-a-job/how-to-become-social-scientist
Community and Social Service,1.6,https://www.pacificu.edu/admissions/blog/become-a-social-worker
Legal,0.8,https://www.usnews.com/education/best-graduate-schools/top-law-schools/articles/how-to-become-a-lawyer-a-step-by-step-guide
"Education, training and library",6.1,https://www.alleducationschools.com/teaching-careers/
"Arts, design, entertainment, sports and media",1.7,https://www.skillshare.com/en/blog/how-to-become-an-artist-advice-from-actual-artists/
Healthcare practioners and technical,5.5,https://topworkplaces.com/how-to-get-job-in-healthcare/
Healthcare support,2.8,https://www.allnursingschools.com/how-to-become-a-nurse/
Protective service,2.3,https://www.indeed.com/career-advice/finding-a-job/how-to-become-a-cps-worker
Food preparation and serving,8.3,https://www.indeed.com/career-advice/finding-a-job/starting-a-food-business
Building and grounds cleaning and maintenance,3.7
Personal care and service,4
Sales,10.2
Office and administrative support,15.1
"Farming, fishing and forestry",0.6
Construction and extraction,4.3
"Installation, maintenance and repair",3.8
Production,6.1
Transportation and material moving,6.5
Total,99.8
